sentence,nsubj,root,split
"Kızılırmak kenarında yetişmiş bu pembe kır çiçeğine , başkentin bütün uçuk renkleri , baygın kokuları bir incelik veriyordu veriyor du .",['renkleri'],['veriyor'],dev
"Kendini böbrek hastası küçüklere adayan anne Birsen Güven , çocuk hastaların diyalize girip eğitim göreceği bir projeyi gerçekleştirebilmek için var gücüyle çalışıyor .","['Birsen', 'hastaların']",['çalışıyor'],dev
Ancak Satürn'ün gelişiyle birlikte dostlarınız ya taşındı ve uzaklaştı yada ya da aranızdaki sorunlar nedeniyle ayrıldınız .,['dostlarınız'],['taşındı'],dev
Gidiyordu ama bizim kiracı da daire dönüşlerinde ev aramaktan vazgeçmiyordu .,['kiracı'],['Gidiyordu'],dev
"Bu arada cezaevinden çıkan Deniz , ODTÜ'ye geldi .",['Deniz'],['geldi'],dev
Başak burcunun sahip olduğu erdemler,['burcunun'],['erdemler'],dev
"Salamis'teki kral mezarlarında yalnızca Yunan değil , Mısır ve Anadolu etkileri de görülmektedir .",['etkileri'],['görülmektedir'],dev
3 - Yusuf da Revivo ile değişerek oynayabilir veya kapalı defans yapan zayıf rakipler önünde yararlı olur .,['Yusuf'],['oynayabilir'],dev
""" Yılmaz Güney'i sevk ediyorlar , neresi olduğunu bilmiyoruz , bugün ziyaret yasak , "" dedi ve dediği gibi izinden dönen mahkûmları alıp gitti .",['ziyaret'],['dedi'],dev
Romantikte de böyle bir yan var .,['yan'],['var'],dev
Hoş Erdal Bey de üzgündü üzgün dü :,['Erdal'],['üzgün'],dev
"Öte yandan bütün kitap boyunca verdiğimiz bilgilerin de gösterdiği gibi Osmanlı Devleti , feodal bir düzene de sahip olmamıştır olmamış tır .","['bilgilerin', 'Devleti']",['sahip'],dev
"Kanal açalım , İstanbul’a iki İstanbul daha inşa edelim ...",['İstanbul’a'],['açalım'],dev
"""Türkiye'deki laiklik , geçmiş dönemde dinlere karşı mesafeli olamamış , bazı sapmalar yapılmış .","['laiklik', 'sapmalar']",['olamamış'],dev
Kimisi kot pantolonunu giymiş .,['Kimisi'],['giymiş'],dev
Ulus'ta ikinci âmirim ilerde Anadolu Ajansı genel müdürü olan Münir Berik oldu .,['âmirim'],['oldu'],dev
"Çok şıktı şık tı , çok iştah açıcıydı açıcı ydı manzara .",['manzara'],['şık'],dev
"Alkolün bir tanımlaması da şudur şu dur : "" Yiğidi susturur ama korkağı coşturur ."" Yani şişede durduğu gibi durmaz .",['tanımlaması'],['şu'],dev
Çoğu insan yetişkinliğe erişince her şeyi biliyorum edasına kapılır .,['insan'],['kapılır'],dev
Kerterizlere göre mevkiiniz değişiyorsa demir tarıyorsunuz demektir demek tir .,['mevkiiniz'],['demek'],dev
"İşte o anda Seyit , oturduğu yerden hızla kalktı .",['Seyit'],['kalktı'],dev
"Bölgenin kültürel değerlerini büyük bir titizlik ve sevgiyle incelemiş Bortaçina ; sivil mimari örnekleriyle , gelenekleriyle , yemek kültürüyle ...",['Bortaçina'],['incelemiş'],dev
Maksadı beni tahrik ederek olay yaratmaktı yaratmak tı .,['Maksadı'],['yaratmak'],dev
Mesela bir iş yaparken biri başımda dikilince uyuz olurum .,['biri'],['uyuz'],dev
"Prof . Hiroyasu İso , "" çeşitli aile rollerini üstlenmekten kaynaklanan stresin "" kadının bu hastalıklara karşı hassasiyetini önemli ölçüde artırdığını söylüyor .","['Hiroyasu', 'stresin']",['söylüyor'],dev
"Sağ kol , aşağıya doğru indirilirken gövde , belden sağ yana - aşağıya doğru bükülür , aynı anda sol kol gövde ile teması kesilmeden ve dirsekten bükülmeden koltuk altına kadar çekilir ve ardından başlangıç pozisyonuna dönülür .","['kol', 'kol', 'teması']",['bükülür'],dev
Ablam söylediklerime hiç aldırış etmeden gitti .,['Ablam'],['gitti'],dev
Ve gitti diyelim Ulusoy .,['Ulusoy'],['diyelim'],dev
"O , kişisel ve günlük siyaset yerine her zaman uzun vadeli düşünen , siyaseti halkın yaşamını iyileştirmek , adaletli bir toplum ve dünya yaratmak olarak anlayan bir siyasetçiydi siyasetçi ydi .",['O'],['siyasetçi'],dev
"İran'a yönelen Timur , Maraga , Rey ve Isfahan üzerine yürüdü .",['Timur'],['yürüdü'],dev
"Üstelik o , ilim gibi bir hazineyi , küfrün ve zulmün hizmetine sunarak en büyük cinayeti işlemiştir işlemiş tir .",['o'],['işlemiş'],dev
"Onlar bakıyorlar , gözlerini bana dikiyorlar",['Onlar'],['bakıyorlar'],dev
Ancak şahsiyet problemleri olan despot bir aslanla Koç benlik mücadelesi yaşayabilir .,['aslanla'],['yaşayabilir'],dev
"Abone , kendisine verilen yeni SIM kartını , taşıma zamanı bildirildiğinde makinesine takarak kullanmaya başlıyor .",['Abone'],['başlıyor'],dev
"Avusturyalıların çıkışından daha önce haberim olduğunu , bunu sadece kendi mecmualarında değil , diğer dağcılık mecmualarında da okuduğumu , fakat bu çıkışın kış çıkışı olarak sayılamayacağını belirttim .",['çıkışın'],['belirttim'],dev
Zekeriya Sertel'e Bekir Ağa Bölüğü'nün kapılarını İstanbul'daki işgal kuvvetlerinden İngiliz polisi açmıştı açmış tı .,['polisi'],['açmış'],dev
""" Savannah Bush "" , insan boyu yükselen , geçit vermeyen ya da çok güç veren , neredeyse bir ormanı andıran bitki örtüsü .",['Savannah'],['örtüsü'],dev
"Adlarınız ne olursa olsun , benim için , hepiniz ülkenizin Ulusal Direniş Ordusu'nun neferlerisiniz neferleri siniz .","['Adlarınız', 'hepiniz']",['neferleri'],dev
"Avukatlar mırın kırın etti , "" Ne olur , ne olmaz "" dediler , ben de teslim oldum .","['Avukatlar', 'Ne', 'ne', 'ben']",['mırın'],dev
Konumuz varsa var sa başlayalım mı artık ?,['Konumuz'],['başlayalım'],dev
"Bunlar olup biterken , Yahuda İskaryot , Romalı askerlerle buluşmuş ve onlara İsa'yı belli bir bedel karşılığı ihbar etmek üzere anlaşmıştır anlaşmış tır .","['Bunlar', 'Yahuda']",['buluşmuş'],dev
Aslında Erel'in haklı isyanından doğan bu birlikteliğin bitmemesini hepimiz istemiştik istemiş tik .,"['birlikteliğin', 'hepimiz']",['istemiş'],dev
"Her defterin , ilk sayfasına mutlaka bir Atatürk resmi yapıştırılıyor sene başında .",['Atatürk'],['yapıştırılıyor'],dev
Aslan erkeği gibi o da sosyal ve arkadaşlar arasında hoş sohbetleri sever .,['o'],['sever'],dev
Başka bir krize neden olan MGK toplantısı ise sadece 30 dakika sürmüştü sürmüş tü .,['toplantısı'],['sürmüş'],dev
Annesiyle babası Pina'nın günden güne sararıp solduğunu gördükçe çok üzülüyorlardı üzülüyorlar dı .,"['Annesiyle', ""Pina'nın""]",['üzülüyorlar'],dev
"Ancak damar sertliği , üre ve tansiyonu olanlar yememelidir yememeli dir .",['olanlar'],['yememeli'],dev
Terazi eyleme geçmekten korkmaz .,['Terazi'],['korkmaz'],dev
"İngiltere'de Lincolnshire İtfaiyesi , itfaiye servisine ilgiyi artırmak ve daha fazla etnik gruptan insanın çalışabilmesine olanak vermek amacıyla Müslüman kadınlar için başörtülü üniforma tasarlattı .","['İtfaiyesi', 'insanın']",['tasarlattı'],dev
Bir süre sonra gerekli iç enerji sağlanır ( ki bunda üstüne oturduğunuz maddelerin etkisi büyüktür büyük tür ) ve beden ruhu tükürüverir .,"['enerji', 'etkisi', 'beden']",['sağlanır'],dev
"Hay demez olsaydım , "" ne ihalesi be kardeşim orasının şimdiye kadar bitmesi gerekiyordu gerekiyor du "" diye bağırmaya başladı , ben yoluma devam ettim .","['orasının', 'ben']",['olsaydım'],dev
"İngilizce ve Fransızca konuşuyor , dünyayı gezmiş , görmüş geçirmiş , insan olmak okulunu genç yaşında başarıyla bitirmiş bir güzel adam .",['adam'],['konuşuyor'],dev
Türk altın mücevherat ithalatında birinci sırada olan ABD'nin 2001 toplam altın mücevherat ithalatı ise 4 milyar 705 milyon dolar .,['ithalatı'],['dolar'],dev
IMF KÖPRÜNÜN SATIŞINI İSTİYOR,['IMF'],['İSTİYOR'],dev
Her gün insanlar kalkmadan önce her yeri aydınlatıp ısıtmaktan bıkmıştı bıkmış tı .,['insanlar'],['bıkmış'],dev
Manastır Askeri Lisesinde Mustafa'nın okumaya olan ilgisi arttı .,"[""Mustafa'nın"", 'ilgisi']",['arttı'],dev
Bebeler sacdan inince daha üstüne pırıltı gibi tereyağ dokundurulmadan kapışıyorlardı kapışıyorlar dı .,"['Bebeler', 'tereyağ']",['kapışıyorlar'],dev
Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış var mış ve briç oynarken yalnızca Türkçe konuşmaya özen gösterirlermiş gösterirler miş .,"['Türklerin', 'takımları']",['var'],dev
Yeniler ayın kuşları üst yapraklarımızı,['kuşları'],['Yeniler'],dev
Fakat ona etki eden duygusal tepkime sonucu nefes faktörünün devreye girmesidir girmesi dir .,['faktörünün'],['devreye'],dev
"Artık bilim adamları , karanlık enerjinin varlığını doğrulamaya çalışmıyor ; artık bu gizemli maddeyi oluşturan yapıları ve enerjinin , evrenin doğuşu ve gelişimi hakkında bize neler söyleyeceklerini bulmaya çalışıyor .",['adamları'],['çalışmıyor'],dev
Bunları talep etsek bizi tımarhaneye atarlar .,['talep'],['atarlar'],dev
Sonradan üne kavuşan Dario Moreno ve yabancı atraksiyon grupları Gar Gazinosu'nda program yaparlardı yaparlar dı .,['Dario'],['yaparlar'],dev
"Sanal ve reelin arasındaki farkın ortaya konması için , üzerinde ciddi şekilde durulması ve kullanıcıların bilgi sınırlarını aşan ciddi sosyolojik analizlerin yapılması gerektiğine inanıyorum .","['farkın', 'analizlerin']",['inanıyorum'],dev
"Sadece yedi hane kaldığından haberdar olduklarından , köye girdiklerinde ortalığa sinmiş ıssızlığı yadırgamadılar .",['hane'],['yadırgamadılar'],dev
"2 Si bemol minör Sonat""ını piyanist Ferdi Statzer çalacaktı çalacak tı .",['piyanist'],['çalacak'],dev
Bakın üç banka battı .,['banka'],['battı'],dev
Yukarıdan görülebilen yer bölümünün hiçbir noktasında hattâ yeşile yakın bile olsun canlı bir renk görülmez .,['renk'],['görülmez'],dev
"Meral ve Yavuzer Çetinkaya , Ahmet Gülhan katılmıştı katılmış tı önemli rollere .",['Meral'],['katılmış'],dev
"Kendisini çok seven Akşehirliler , neredeyse yaşı geçmek üzere olan Hoca'yı bir an önce evlendirmek için harekete geçmişlerdir geçmişler dir bile .","['Akşehirliler', 'yaşı']",['harekete'],dev
"Fin - Türk Kültür Derneği , onun onuruna yemek verdi .",['Derneği'],['verdi'],dev
"İçinden de şöyle diyordu : Hangi ilim adamı üniversitedeki üniversitede ki yoksul öğrencisine parasız ders verir , kaç tane talebesine yardımda bulunur ?",['adamı'],['diyordu'],dev
Chat benim için kendimi ifade etmektir etmek tir ...,['Chat'],['ifade'],dev
"- Hiçbirimizle konuşmuyor , kendini büyük görüyor .",['Hiçbirimizle'],['-'],dev
"Gök haritamızda Kova neredeyse nerede yse , orada bağları koparma isteği , başkaldırı , yenilikçi ve ilerici bir tutum görülecektir görülecek tir .","['Kova', 'isteği']",['görülecek'],dev
"O zaman her dönemin gerçeği , zamanımızda da oluşmak üzeredir üzere dir .",['gerçeği'],['üzere'],dev
ARGE faaliyetleri sonucu yaratılan tahmini katma değer >60 milyon dolar civarında .,['değer'],['civarında'],dev
"Sonuçta kimi firmalar elenirken , kimileri daha da büyüdü .","['firmalar', 'kimileri']",['büyüdü'],dev
Benim çok yoğun bir reel hayatım ve sorumluluklarım var .,['hayatım'],['var'],dev
"Gözü yaşlı anne içeri giren herkese teşekkür ediyor ; sanki ellerini , ayaklarını öpmek ister gibi hamleler yapıyor , yanındakiler kollarından tutuyorlardı tutuyorlar dı .","['Gözü', 'anne', 'yanındakiler']",['teşekkür'],dev
Haşim adında ilk kez gördüğüm kurye de yeni cezaevinden çıkmış .,['kurye'],['çıkmış'],dev
"Anket gönderimi yönteminin en avantajlı yönü , zaman ve para tasarrufu sağlamasıdır sağlaması dır .",['yönü'],['sağlaması'],dev
Babası buna çok gönüllü olmamıştı olmamış tı .,['Babası'],['gönüllü'],dev
Yusuf Gürlevik ise Cinayet Masası dedektifleri tarafından gözaltına alınarak Asayiş Şube Müdürlüğü'ne götürüldü .,"['Yusuf', 'Şube']",['götürüldü'],dev
"Kiliseye göre Galile , İncil'e karşı geliyordu .",['Galile'],['karşı'],dev
İşler bitmedi ...,['İşler'],['bitmedi'],dev
Gövde ve dallarının kapalı yerlerde yakılmasıyla sarıkatran elde edilir .,"['Gövde', 'sarıkatran']",['elde'],dev
Dönemin Tercüman gazetesinde sistemli olarak Pol - Der aleyhine bir karalama kampanyası yürütülüyordu yürütülüyor du .,['kampanyası'],['yürütülüyor'],dev
Ben nedense neden se hiç bir zaman oralarda kalmaya çok meraklı olmadım .,['Ben'],['meraklı'],dev
"Baba sevgisinden mahrum büyüyen Nevzat , kendi çocuklarına düşkünlüğünü , aileyi çok iyi bilirdi .",['Nevzat'],['bilirdi'],dev
"Diyelim onların "" edindikleri kültür "" de liberaldir liberal dir , lâiktir lâik tir .",['kültür'],['Diyelim'],dev
"Bürokrasi , iktidarını pekiştirme sürecinde , önce gerçekçileşerek dünya devriminden vazgeçmiş ve tek ülkede sosyalizmi inşa etme yöntemi olarak ulusal kalkınma ve sanayileşme hedefini öne çıkarmış , ardından ve buna uygun olarak , milliyetçiliği Marksizmin içsel ve doğal bir unsuru olarak teorize etmiştir etmiş tir .",['Bürokrasi'],['vazgeçmiş'],dev
"Osman ÖZSOY da bu durumu , bir konuşmasından aldığım notta şöyle özetliyor "" Gaz mı , Gazze mi ? "" 29 Mart yerel seçimlerinden önce yaptığı konuşmadan aldığım notun seçimlerden sonra kısmen gerçekleştiğine de şahit olduk .","['Osman', 'notun']",['özetliyor'],dev
"Sarı saçlı , mavi gözlü bebekler , âdeta ona bir arkadaş gibi bakıyorlardı bakıyorlar dı .",['bebekler'],['bakıyorlar'],dev
"Bu mahkemeler bünyesinde sosyal hizmet uzmanları görev almalı , ayrıca psikolog , pedagog ve sosyal çalışma uzmanlarından oluşan bir bilirkişilik kurumu oluşturulmalıdır .","['uzmanları', 'kurumu']",['görev'],dev
"Bir öğle yemeği dönüşü , odamda ellerini ensesinde bağlamış uyuyan bir zenci buldum , hemen tanıdım , Dizzy Gillespie'ydi Gillespie 'ydi bu .","['ellerini', 'bu']",['buldum'],dev
Her sabah nizamiyeden giren araçta benim ismimin olduğuna emindim emindim dim ama bir türlü çıkmıyordu çıkmıyor du .,['ismimin'],['emindim'],dev
"Açıklanması veya öğrenilmesi , devletin dış ilişkilerine , milli savunmasına ve milli güvenliğine zarar verebilecek , anayasal düzeni ve dış ilişkilerinde tehlike yaratabilecek ve bu nedenlerle niteliği itibarıyla gizli kalması gereken bilgi ve belgeler "" devlet sırrı "" olarak kabul edilecek .",['bilgi'],['kabul'],dev
"Sağcılar üç aylı bayraklarla , solcular da orak ve çekiçli bayraklarla süslemişlerdi süslemişler di .",['Sağcılar'],['süslemişler'],dev
"Yaşlılar ve hastalar , kendi karneleriyle aldırdıkları ekmeği çocuklar ve gençlerin gereksinmeleri için ayırmaktadırlar .",['Yaşlılar'],['ayırmaktadırlar'],dev
Daha sonra da büyük lastik fabrikaları kuruldu ve bugün kullandığımız tekerlekler üretilmeye başlandı .,"['fabrikaları', 'tekerlekler']",['kuruldu'],dev
Stadın ise uzun bir öyküye dönüşen talihsiz serüveni hâlâ sürmekte .,['serüveni'],['sürmekte'],dev
"Bir de "" Çengeli iğne , nazar bozar "" derler",['iğne'],['derler'],dev
Çıtır çıtır yaprakları olan taze bir fesleğen ile marketten satm aldığınız paket içindeki içinde ki fesleğen arasındaki arasında ki farkı görmeden lezzetlerinin de ne kadar farklı olacağını anlayamazsınız .,['lezzetlerinin'],['anlayamazsınız'],dev
"Kilo fazlalığı ve şişmanlık sorunu olanların tümü zayıflamayı bir süre arzulamaz veya böyle bir çabayı gösterecek motivasyona , güce , zamana veya ekonomik güce sahip olmayabilirler .",['tümü'],['arzulamaz'],dev
"Sınırın karşı tarafındaki tarafında ki Türk karakolunda herhangi bir askeri hareketlilik gözlenmezken gözlenmez ken , Kuzey Irak kesiminde ise peşmergelerin mevzilerinden çıktıkları gözlendi .","['hareketlilik', 'peşmergelerin']",['gözlendi'],dev
Ahlar vahlar arasında neredeyse sezon daha başlamadan acınacak hale geldik .,['sezon'],['geldik'],dev
"AP televizyonu , öldürülen bir kişinin kömürleşmiş cesedini yayınlarken , Abdulaziz Muhammed adlı Felluceli , kızgın kalabalığın cesetleri caddelerde sürüklediğini ve parçalara ayırdığını , bazı cesetlerin bir köprüye asıldığını söyledi .","['televizyonu', 'Felluceli', 'kalabalığın']",['söyledi'],dev
"Tekstil ve hazır giyimciler , dünyanın en büyük sektörel tekstil Ar - Ge merkezi olan ""Tekstilpark""ı ekimde açmayı planlıyor .",['Tekstil'],['planlıyor'],dev
Otları uzun uzun kokladı .,['Otları'],['kokladı'],dev
"Türkiye'nin tepkilerinden sonra açıklamalarda bulunan Clinton'ın Türk danışmanı Mehmet Çelebi , sözde soykırımın tanınacağı yönündeki açıklamanın taktik olduğunu iddia etmişti etmiş ti .","['danışmanı', 'soykırımın', 'açıklamanın']",['iddia'],dev
"Nietzsche'nin dediği gibi , fiziğin bile bir dünya açıklaması olmayıp yalnızca bir dünya yorumu ve düzenlemesi olduğunu anlamak için başka bir kaynağa değil , bilim tarihine bakmak yeter .",['yorumu'],['değil'],dev
"Herkes kendisini birazcık daha sevsin , teşekkürü yeterince almıştır almış tır öteki .","['Herkes', 'öteki']",['sevsin'],dev
Benzin buharının birikmesini engellemek için motor ve yakıt bölmeleri düzenli havalandırılmalıdır .,"['buharının', 'bölmeleri']",['havalandırılmalıdır'],dev
"Kuruluşunun 100'üncü yılını Avrupa'da ve Türkiye'de çeşitli etkinliklerle kutlayan Renault , 1998 yılını bulunduğu tüm pazarlarda atılım yılı ilan etti .",['Renault'],['ilan'],dev
Bu sizin en kutsal göreviniz ....,['Bu'],['göreviniz'],dev
"Yoksa yokuşu görünce "" Yarı yere kadar ben seni taşırım , yarısından sonra da sen beni ."" dedi öyle mi ? Bu sözle o "" Biraz ben dereden tepeden bahsederim , biraz da sen , derken yol yorgunluk duymadan yokuşun başını buluruz ."" demek istemiş .","['ben', 'o', 'ben']",['dedi'],dev
Bazı üyelerin 'Bu benim kızımı başı kapalı üniversiteye sokmadı ' dediklerini kulağımızla duyduk .,"['üyelerin', ""'Bu"", 'başı']",['duyduk'],dev
Sonra başka bir şey duyamaz oldum .,['şey'],['oldum'],dev
Balık kendi hayal dünyasında yaşar .,['Balık'],['yaşar'],dev
"İçten basınçlı bir cihaz kullanılıyorsa , nanometre ibresinin yeşil alanda olması gerekmektedir .","['cihaz', 'ibresinin']",['gerekmektedir'],dev
Büyük çoğunluğu oluşturan herkesin bir kaynama noktası ve bedeli var ...,['noktası'],['var'],dev
Eğer rüzgâr iskele boyunca esiyorsa esiyor sa iskeleye yanaşmak için en uygunu teknenin başını rüzgâra vererek girmektir girmek tir .,"['rüzgâr', 'uygunu']",['girmek'],dev
"Çatlak pek geniş değildi , 80 - 90 santimetre kadardı kadar dı .",['Çatlak'],['geniş'],dev
"Öğrenciler geliyor daha çok ."" Resim alıcılarını da sınıflandırmış .",['Öğrenciler'],['geliyor'],dev
"Elektronik posta aracılıyla tüketiciler , şikayet ve dileklerini bu iletişim aracı sayesinde organizasyonlara iletebilecek , organizasyondan haber alabileceklerdir alabilecekler dir .",['tüketiciler'],['iletebilecek'],dev
"Yine kilit sistemi , tekerleklerin açılmasını önlüyor .","['sistemi', 'tekerleklerin']",['önlüyor'],dev
Daha sonra Pol - Der'in kuruluş döneminde hukuk müşaviri olarak katkısından yararlandığımız Uğur Alacakaptan ve Adana Senatörü Hayri Öner konuştular .,['Uğur'],['konuştular'],dev
""" Müsait yerde""nin bu ilk haliydi hali ydi , bunun bir de ikinci hali vardır var dır .","['bu', 'hali']",['hali'],dev
Ama bu yüzden bir derginin başı derde girecekti .,['başı'],['derde'],dev
İnsan neden ister bunu ?,['İnsan'],['ister'],dev
"Aynı söyleşide kendisine sınırsız olanak verilse veril se ( soru böyle ) ne yapacağına ilişkin olarak , farklı tarihsel dönemlerdeki Türk kadınını canlandırmak istediğini söylüyor .",['soru'],['söylüyor'],dev
"Bir yandan da "" Buranın çıkışı vardır var dır , burada yılan vardır var dır "" diye düşünüp kendi kendime gülüyorum .","['çıkışı', 'yılan']",['gülüyorum'],dev
"Yerel bir güvenlik görevlisi çiftin durumunda "" ahlaka mugayir "" bir şey olmadığını belirtirken , besiçlerin çiftin aracını Kirman dışında durdurup öldürdüğünü aktardı .","['şey', 'besiçlerin']",['aktardı'],dev
Başak burcunda doğan kadın evine düşkündür düşkün dür .,['kadın'],['düşkün'],dev
"maddesi , çocukların eğitim hakkını tanımakta ; taraf devletleri , çocuklara ücretsiz zorunlu temel eğitim sağlamak , ortaöğretimi genel ve mesleki olmak üzere çeşitli biçimlerde örgütlemek ve bunları tüm çocuklara açık bulundurmakla yükümlü tutmaktadır .","['maddesi', 'devletleri']",['tanımakta'],dev
"Okuyucuyu fazla meraklandırmadan söyliyeyim , dergimizin adı Kelime idi .",['adı'],['Kelime'],dev
a . Teknolojik alanda ilerlemelerle besin maddelerinin işlenmesi ve sağlanmasında hatalı uygulanan yöntemler ve besin maddelerine çeşitli maksatlarla addidif ismi verilen katkı maddelerinin gelişigüzel katılmasıyla bu besinleri yiyenlerde sağlığı tehlikeye düşürücü ve bozucu durumları ortaya çıkarmıştır .,"['maddelerinin', 'ismi', 'maddelerinin']",['ortaya'],dev
Oynadığı 21 maçtan 17'sini kazanmayı bilen Bursa ekibi ligde kalan maçları da kazanarak Play - Off'lara zirvede girmek istiyor .,['ekibi'],['istiyor'],dev
Sen de arkana yaslanıyor ve e - gazeteni açıyorsun .,['Sen'],['yaslanıyor'],dev
Büyük ayaklarıma küçük numaralı döküntü bir spor ayakkabı hediye edildi .,['spor'],['hediye'],dev
"Vanilya , kahve , pirinç başlıca tarım ürünleridir ürünleri dir .",['Vanilya'],['ürünleri'],dev
"Travma ve kanamaya karşı , konularında anlatılan tedbirler alınır .",['tedbirler'],['alınır'],dev
Bunlar Hıristiyan - Alevi ve Sünni Türk - Arap Alevi kardeşliğinin yaşayan örnekleridir örnekleri dir .,['Bunlar'],['örnekleri'],dev
"Cafe Armani'de kapuçino içmek zorunda olduğum karşılıklı , bir adet dahi Botoks Kadını yok hayatımda .",['Kadını'],['yok'],dev
"Yarbay : "" Ben görevimi bilirim , sen mi bana akıl öğreteceksin .","['Ben', 'sen']",['Yarbay'],dev
"Kıskançlıklarla , kuşkularla , hesaplaşmalarla süren sancılı bir aşkın orta yerindeki yerinde ki bir sevişmeden sonra adam odadan çıktığında başlayan bir hava bombardımanında ev isabet alıyor ve adamın biraz önce geçtiği bölüm çöküyor .","['adam', 'adamın', 'bölüm']",['isabet'],dev
"Şimdi içimiz rahat ."" demişti demiş ti .",['içimiz'],['demiş'],dev
"Kanarya sırasıyla Kayseri , Bursa , G.Saray , Ankara , Beşiktaş , Antalya ve Trabzon'a konuk olacak .",['Kanarya'],['konuk'],dev
"Ancak , zamanla paralar kıyıya vurmaya başlamış .",['paralar'],['başlamış'],dev
"Beşiktaş Kulübü , futbol takımının eski teknik direktörü Vincete Del Bosque ve yardımcılarına Uluslararası Spor Tahkim Mahkemesi'nin tarafından verilen 6.7 milyon Euro tazminat ödeme cezasına itiraz etmek için 6 mart salı günü İsviçre'ye gidiyor .",['Kulübü'],['gidiyor'],dev
Karikatür bir eleştiri .,['Karikatür'],['eleştiri'],dev
""" Sen benim hiçbir şeyim olmayacaksın ve ben senin hiçbir şeyin olmayacağım "" deyişteki deyiş ki korkunç vazgeçiş , hep biraz uzakta kalıp aradaki arada ki bağın , kararlarla , sözlerle , açıklamalarla , nikâh kâğıtlarına atılan imzalarla , birbirinin sahibi olabilmek için duyulan isteklerle değil de yalnızca karşısındakine hissedilen sevgiyle sürebileceğine olan muhteşem inanç , bir aşkı bir buçuk asır sonra da hatırlanır kılıyor elbet .","['Sen', 'ben', 'vazgeçiş', 'inanç']",['kılıyor'],dev
Hızla şişen mukozanın nefes borusunu tıkaması sonucu kişi boğulabilir .,"['mukozanın', 'kişi']",['boğulabilir'],dev
"Bakın hele kaç "" L "" oldu kaşla göz arasında .",['L'],['oldu'],dev
Elim kaleme uzansa yazacak çok hikâye var .,['hikâye'],['var'],dev
"Herkes önündeki önünde ki en iyi seçeneğin bu gün , bu saatte , bu yerden , bilet alınan yere yapılacak bu yolculuk olduğuna inanmıştı inanmış tı .",['Herkes'],['inanmış'],dev
"Karlı kış akşamları tepelerinde rüzgârlar uğuldayan bu ortaçağ kentlerinden anlatılan ocak başı efsanelerine göre Pireneler'e adını , bu dağlarda on iki sınavından birini vermeye gelen Herakles , su perisi Pirene olan aşkı anısına koymuş .","['rüzgârlar', 'Herakles']",['koymuş'],dev
"Tam da dediği gibi , "" Bu , hükümetin kararı . "" Demek ki , Silahlı Silah lı Kuvvetler'e susmak ve seçilmiş hükümetin verdiği emirleri ses çıkarmadan yerine getirmek düşer .","['Bu', 'kararı']",['düşer'],dev
"Ancak , seçtiği yüksek rütbeli subaylar ordu içinde destek bulamayınca başarılı olamadı .",['subaylar'],['başarılı'],dev
