item,sentence,case,number,attention_to_attractor,attention_to_head,attractor_tokens,head_tokens,verb_tokens,attention_diff
12,Memurlar düşmanı kavganın ortasında aniden habersizce kaçtılar.,nom,attractorMatch,0.999461293,0.014635838,"['Mem', 'urlar']",['ĠdÃ¼ÅŁmanÄ±'],"['ĠkaÃ§', 'tÄ±lar']",0.984825456
12,Memur düşmanı kavganın ortasında aniden habersizce kaçtılar.,nom,noMatch,0.96898365,0.012377654,['Memur'],['ĠdÃ¼ÅŁmanÄ±'],"['ĠkaÃ§', 'tÄ±lar']",0.956605996
13,Suçlunun avcıları son çatışmada dikkatsizlik yüzünden yaralandılar.,gen,targetMatch,1.363408685,0.063505821,"['SuÃ§', 'lunun']","['Ġav', 'cÄ±larÄ±']","['Ġyaralan', 'dÄ±lar']",1.299902864
13,Suçluların avcısı son çatışmada dikkatsizlik yüzünden yaralandılar.,gen,attractorMatch,1.261302233,0.101258546,"['SuÃ§', 'lu', 'larÄ±n']","['Ġav', 'cÄ±sÄ±']","['Ġyaralan', 'dÄ±lar']",1.160043687
13,Suçlunun avcısı son çatışmada dikkatsizlik yüzünden yaralandılar.,gen,noMatch,1.274801493,0.103829145,"['SuÃ§', 'lunun']","['Ġav', 'cÄ±sÄ±']","['Ġyaralan', 'dÄ±lar']",1.170972347
13,Suçlu avcıları son çatışmada dikkatsizlik yüzünden yaralandılar.,nom,targetMatch,1.31342113,0.049978159,"['SuÃ§', 'lu']","['Ġav', 'cÄ±larÄ±']","['Ġyaralan', 'dÄ±lar']",1.263442971
13,Suçlular avcısı son çatışmada dikkatsizlik yüzünden yaralandılar.,nom,attractorMatch,1.284212351,0.072680995,"['SuÃ§', 'lular']","['Ġav', 'cÄ±sÄ±']","['Ġyaralan', 'dÄ±lar']",1.211531356
13,Suçlu avcısı son çatışmada dikkatsizlik yüzünden yaralandılar.,nom,noMatch,1.249308348,0.056214914,"['SuÃ§', 'lu']","['Ġav', 'cÄ±sÄ±']","['Ġyaralan', 'dÄ±lar']",1.193093434
14,Sendikacının koordinatörleri yarınki önemli görüşme için hazırlandılar.,gen,targetMatch,1.262562513,0.055314101,"['Sen', 'dik', 'acÄ±nÄ±n']","['Ġkoordin', 'atÃ¶rleri']","['ĠhazÄ±rlandÄ±', 'lar']",1.207248412
14,Sendikacıların koordinatörü yarınki önemli görüşme için hazırlandılar.,gen,attractorMatch,1.192975521,0.080227606,"['Sen', 'dik', 'acÄ±larÄ±n']","['Ġkoordin', 'atÃ¶rÃ¼']","['ĠhazÄ±rlandÄ±', 'lar']",1.112747915
14,Sendikacının koordinatörü yarınki önemli görüşme için hazırlandılar.,gen,noMatch,1.203659058,0.074598938,"['Sen', 'dik', 'acÄ±nÄ±n']","['Ġkoordin', 'atÃ¶rÃ¼']","['ĠhazÄ±rlandÄ±', 'lar']",1.129060119
14,Sendikacı koordinatörleri yarınki önemli görüşme için hazırlandılar.,nom,targetMatch,1.233525753,0.053155784,"['Sen', 'dik', 'acÄ±']","['Ġkoordin', 'atÃ¶rleri']","['ĠhazÄ±rlandÄ±', 'lar']",1.180369969
14,Sendikacılar koordinatörü yarınki önemli görüşme için hazırlandılar.,nom,attractorMatch,1.206258297,0.066305578,"['Sen', 'dik', 'acÄ±lar']","['Ġkoordin', 'atÃ¶rÃ¼']","['ĠhazÄ±rlandÄ±', 'lar']",1.139952719
14,Sendikacı koordinatörü yarınki önemli görüşme için hazırlandılar.,nom,noMatch,1.181798458,0.067879781,"['Sen', 'dik', 'acÄ±']","['Ġkoordin', 'atÃ¶rÃ¼']","['ĠhazÄ±rlandÄ±', 'lar']",1.113918677
15,Engellinin bakıcıları ufacık zamma anlamsızca çok sevindiler.,gen,targetMatch,1.680061817,0.040339272,"['Engel', 'linin']","['ĠbakÄ±cÄ±', 'larÄ±']","['Ġsev', 'ind', 'iler']",1.639722545
15,Engellilerin bakıcısı ufacık zamma anlamsızca çok sevindiler.,gen,attractorMatch,1.667493582,0.05888816,"['Engel', 'lilerin']","['Ġbak', 'Ä±cÄ±sÄ±']","['Ġsev', 'ind', 'iler']",1.608605422
15,Engellinin bakıcısı ufacık zamma anlamsızca çok sevindiler.,gen,noMatch,1.659922481,0.047621194,"['Engel', 'linin']","['Ġbak', 'Ä±cÄ±sÄ±']","['Ġsev', 'ind', 'iler']",1.612301286
15,Engelli bakıcıları ufacık zamma anlamsızca çok sevindiler.,nom,targetMatch,1.657331467,0.056111999,['Engelli'],"['ĠbakÄ±cÄ±', 'larÄ±']","['Ġsev', 'ind', 'iler']",1.601219468
15,Engelliler bakıcısı ufacık zamma anlamsızca çok sevindiler.,nom,attractorMatch,1.673709154,0.048202693,"['Engel', 'liler']","['Ġbak', 'Ä±cÄ±sÄ±']","['Ġsev', 'ind', 'iler']",1.625506461
15,Engelli bakıcısı ufacık zamma anlamsızca çok sevindiler.,nom,noMatch,1.665629268,0.046092577,['Engelli'],"['Ġbak', 'Ä±cÄ±sÄ±']","['Ġsev', 'ind', 'iler']",1.61953669
16,Partnerin terapistleri zor durum karşısında ihtiyatlı davrandılar.,gen,targetMatch,1.221268177,0.043781027,"['Part', 'ner', 'in']","['Ġterap', 'istleri']","['Ġdavran', 'dÄ±lar']",1.17748715
16,Partnerlerin terapisti zor durum karşısında ihtiyatlı davrandılar.,gen,attractorMatch,1.21447897,0.066151999,"['Part', 'ner', 'lerin']","['Ġterap', 'isti']","['Ġdavran', 'dÄ±lar']",1.148326971
16,Partnerin terapisti zor durum karşısında ihtiyatlı davrandılar.,gen,noMatch,1.198069811,0.06606023,"['Part', 'ner', 'in']","['Ġterap', 'isti']","['Ġdavran', 'dÄ±lar']",1.132009581
16,Partner terapistleri zor durum karşısında ihtiyatlı davrandılar.,nom,targetMatch,1.190010071,0.047209039,"['Part', 'ner']","['Ġterap', 'istleri']","['Ġdavran', 'dÄ±lar']",1.142801031
16,Partnerler terapisti zor durum karşısında ihtiyatlı davrandılar.,nom,attractorMatch,1.181544304,0.053512968,"['Part', 'n', 'erler']","['Ġterap', 'isti']","['Ġdavran', 'dÄ±lar']",1.128031336
16,Partner terapisti zor durum karşısında ihtiyatlı davrandılar.,nom,noMatch,1.180527687,0.053544842,"['Part', 'ner']","['Ġterap', 'isti']","['Ġdavran', 'dÄ±lar']",1.126982845
17,Sporcunun eğitmenleri yoğun hazırlık döneminden  sonra yoruldular.,gen,targetMatch,2.096259117,0.033103,"['Spor', 'cunun']","['ĠeÄŁitmen', 'leri']","['Ġyor', 'uldu', 'lar']",2.063156117
17,Sporcuların eğitmeni yoğun hazırlık döneminden  sonra yoruldular.,gen,attractorMatch,2.035874605,0.066561729,"['Spor', 'cularÄ±n']","['ĠeÄŁit', 'meni']","['Ġyor', 'uldu', 'lar']",1.969312876
17,Sporcunun eğitmeni yoğun hazırlık döneminden  sonra yoruldular.,gen,noMatch,2.06787014,0.057039838,"['Spor', 'cunun']","['ĠeÄŁit', 'meni']","['Ġyor', 'uldu', 'lar']",2.010830302
17,Sporcu eğitmenleri yoğun hazırlık döneminden  sonra yoruldular.,nom,targetMatch,2.092093945,0.048241824,"['Spor', 'cu']","['ĠeÄŁitmen', 'leri']","['Ġyor', 'uldu', 'lar']",2.043852121
17,Sporcular eğitmeni yoğun hazırlık döneminden  sonra yoruldular.,nom,attractorMatch,2.049824476,0.074888438,"['Spor', 'cular']","['ĠeÄŁit', 'meni']","['Ġyor', 'uldu', 'lar']",1.974936038
17,Sporcu eğitmeni yoğun hazırlık döneminden  sonra yoruldular.,nom,noMatch,2.050583839,0.069490224,"['Spor', 'cu']","['ĠeÄŁit', 'meni']","['Ġyor', 'uldu', 'lar']",1.981093615
18,İşçinin  sorumluları soğuk kış havasından ötürü hastalandılar.,gen,targetMatch,1.269935727,0.091783419,"['Ä°ÅŁ', 'Ã§inin']","['Ġ', 'Ġsorumlu', 'larÄ±']","['Ġhastalan', 'dÄ±lar']",1.178152308
18,İşçilerin sorumlusu soğuk kış havasından ötürü hastalandılar.,gen,attractorMatch,1.312509298,0.040687557,"['Ä°ÅŁ', 'Ã§ilerin']",['Ġsorumlusu'],"['Ġhastalan', 'dÄ±lar']",1.271821741
18,İşçinin  sorumlusu soğuk kış havasından ötürü hastalandılar.,gen,noMatch,1.248476744,0.095504552,"['Ä°ÅŁ', 'Ã§inin']","['Ġ', 'Ġsorumlusu']","['Ġhastalan', 'dÄ±lar']",1.152972192
18,İşçi sorumluları soğuk kış havasından ötürü hastalandılar.,nom,targetMatch,1.319570065,0.049816161,['Ä°ÅŁÃ§i'],"['Ġsorumlu', 'larÄ±']","['Ġhastalan', 'dÄ±lar']",1.269753903
18,İşçiler sorumlusu soğuk kış havasından ötürü hastalandılar.,nom,attractorMatch,1.308164954,0.035378408,"['Ä°ÅŁ', 'Ã§iler']",['Ġsorumlusu'],"['Ġhastalan', 'dÄ±lar']",1.272786546
18,İşçi sorumlusu soğuk kış havasından ötürü hastalandılar.,nom,noMatch,1.311761737,0.026822587,['Ä°ÅŁÃ§i'],['Ġsorumlusu'],"['Ġhastalan', 'dÄ±lar']",1.284939149
19,Bankacının analistleri büyük ölçekte veri karşısında zorlandılar.,gen,targetMatch,1.994112134,0.064461909,"['Bank', 'acÄ±nÄ±n']","['Ġanal', 'istleri']","['Ġzor', 'landÄ±', 'lar']",1.929650225
19,Bankacıların analisti büyük ölçekte veri karşısında zorlandılar.,gen,attractorMatch,1.887501955,0.124525711,"['Bank', 'acÄ±larÄ±n']","['Ġanal', 'isti']","['Ġzor', 'landÄ±', 'lar']",1.762976244
19,Bankacının analisti büyük ölçekte veri karşısında zorlandılar.,gen,noMatch,1.978059173,0.101208046,"['Bank', 'acÄ±nÄ±n']","['Ġanal', 'isti']","['Ġzor', 'landÄ±', 'lar']",1.876851127
19,Bankacı analistleri büyük ölçekte veri karşısında zorlandılar.,nom,targetMatch,1.964069247,0.052265383,"['Bank', 'acÄ±']","['Ġanal', 'istleri']","['Ġzor', 'landÄ±', 'lar']",1.911803864
19,Bankacılar analisti büyük ölçekte veri karşısında zorlandılar.,nom,attractorMatch,1.94148159,0.074368626,"['Bank', 'acÄ±lar']","['Ġanal', 'isti']","['Ġzor', 'landÄ±', 'lar']",1.867112964
19,Bankacı analisti büyük ölçekte veri karşısında zorlandılar.,nom,noMatch,1.95672822,0.07431367,"['Bank', 'acÄ±']","['Ġanal', 'isti']","['Ġzor', 'landÄ±', 'lar']",1.88241455
20,Yazılımcının direktörleri daha etkili bir özet yazdılar.,gen,targetMatch,1.207526088,0.07244499,"['YazÄ±lÄ±m', 'cÄ±nÄ±n']","['ĠdirektÃ¶r', 'leri']","['Ġyaz', 'dÄ±lar']",1.135081097
20,Yazılımcıların direktörü daha etkili bir özet yazdılar.,gen,attractorMatch,1.198595643,0.031777646,"['YazÄ±lÄ±m', 'cÄ±larÄ±n']",['ĠdirektÃ¶rÃ¼'],"['Ġyaz', 'dÄ±lar']",1.166817997
20,Yazılımcının direktörü daha etkili bir özet yazdılar.,gen,noMatch,1.164885998,0.030385122,"['YazÄ±lÄ±m', 'cÄ±nÄ±n']",['ĠdirektÃ¶rÃ¼'],"['Ġyaz', 'dÄ±lar']",1.134500876
